Post,Name,Datetime,Story,year
post-7142367,The Gift of Fish,"Jul 15, 2021 at 8:12 PM","... we're going to Sizzler cos we got some celebratin' to do! 




If I go online and win this extra dollar bonus, what do I spend it on? What would you spend it on? Would you go wild and spend it all at once or would you be prudent and save some of it for a rainy day?

Decisions, decisions, decisions.",2021
post-7139982,June132017,"Jul 14, 2021 at 1:27 AM","A guy named Russel ordered a Lyft. So looking at the map it pretty much was making a u-turn down the road. So, I happen to pull over to a power station where I guess the trucks service them. Anyway, this shaved over 2 miles off his pickup and probably 4 mins. Well, it wasn't meant to be. He then cancelled after 25 to 30 seconds. I literally face palmed. I guess it's like hitting a homerun and losing.

A couple of times I made a wrong move and made the pickup longer and the rider didn't even cancel. These free cancels just suck.",2021
post-7137806,Bojingles,"Jul 12, 2021 at 5:15 PM",My account has never been placed on hold for a background check until now 6 days and counting.Poor a.ss business performance,2021
post-7136004,MissAnne,"Jul 10, 2021 at 8:40 PM","Guess things in Salt Lake City are getting back to normal, there are 4 to 5 concerts tonight in the valley, including one at Usana, just down the road from me.

This is the most surge I have seen in a year. And of course, hubby has the car",2021
post-7029729,touberornottouber,"Apr 14, 2021 at 12:00 PM","I get a ride request to go to an apartment. When I arrive it shows me that it is a scheduled ride for 9:45 - 9:55. It is 9:46 so I message them to let them know i am in front of the building (there are 30 buildings in this complex and the GPS is often off). She messages back that she will need a couple minutes. I say ""no problem"" because I can live with 2-3 minutes. But then she messages back that she ""uses the scheduled rides to give her some extra leeway"". (she is thinking that she has until 9:55 to come out and is starting to get snooty with me). I consider messaging back to tell her, no, she misunderstood how it works but thought better of it as you never know how they will react. I also consider whether I should just cancel the ride then and there and leave to avoid having to deal with her but decide to let it go.

It finally tells me I can now cancel and get paid. I decide to wait an extra three minutes just to be a nice guy (I really am not a jerk honest). Finally I am over 8 minutes in now. It's 9:54 so I cancel.

She was going to wait to 9:55 to ""show me"" and make me wait for being ""impatient"". I wonder how that worked out for her? I drove away about $4.50 richer. Sorry lady but I ain't your butler and your ride was going to be a minimum fare. I am sure she was ont he phone with Uber. Hopefully they told her how it works but I doubt it.",2021
post-7129924,losiglow,"Jul 4, 2021 at 4:19 PM","I thought a thread dedicated to funny screenshots would make for a good laugh. These can be ones that show some crazy low pax rating, wacky pax messages through the app, funny notifications from Lyft or Uber or anything else that made you raise an eyebrow and you thought quick enough to screenshot it.


Here's one I had with the longest ping I've ever gotten. 34 minutes and probably 30 miles to pick up a pax. Yeah, I'll get right on that!  





Here's one where my AR and CR both plummeted to 0%. Good for the CR but wow. I didn't know I was turning down that many rides. Turns out it was a glitch of course. Returned to normal the next day.




Anyone getting these crazy long waits for scheduled rides lately? I've made a habit of checking beforehand because Uber will sometimes send me to a pax when there's as much as 30 minutes before their scheduled ride. Wow. Just wow. Needless to say, I cancelled with a ""don't want to wait"".

",2021
post-7120846,Dr.Y,"Jun 25, 2021 at 11:06 AM","Hello all,
I drive in Chicago, and today I had someone named ozasee for a ride. I discovered he wasn't wearing a mask, and refused to put one on. Once he did, it was under his chin, and I repeatedly asked him to put it on. He put it under his nose, and started complaining about Chicago not having a mask mandate. I explained it was Uber's policy, and Chicago had nothing to do with it. He refused to put it on, so I pulled over to a gas station, and ended the ride. He then refused to get out of the car, and I had to call the police. This is how my day started today. His pickup location was . He was verbally abusive about getting out of the car, and wouldn't get out. Uber sent him a message reminding him about the mask, and he will have to prove with a photo that he's wearing a mask before getting a ride. Nothing about him being rude or anything from Uber. Stupid useless people in that company. Just be warned about this person named ozasee in Chicago.",2021
post-7131178,Benjamin M,"Jul 5, 2021 at 11:59 PM","


As some know here, I decided to go and get a ""real job"" like my wife had been ""suggesting"".

""You know, a W-2. No, I don't care if you don't want to flip burgers! 

Well, I thought that I was doing pretty well driving Uber (after expenses, still about what I earned as a paramedic) but my 2018 Civic hit 70k and gas prices are through the roof.

So, ""real job"".

Back to EMS? Still a maybe. But I'm not in my 20s anymore, a touch of PTSD, and two hernias.

Back to programming? Competitive, also for the young, and I do not want to be behind a desk.

Law enforcement? That was on my horizon before we moved to the big city and ""stuff"" happened.

So, one night, I decided to send a Facebook message to a limousine company that I first noticed before I started rideshare full time, brand new to the city life. Instant reply, I was hired on the spot two days later.

First vehicle I drove was a Chrysler 300. Brakes were shot. Second, another 300, tires were bald and one had an enormous chunk of rubber missing.

Soul searched for about three days (and posted here). Decided to give them the benefit of doubt, just as I would want, emailed them basically saying that they are awesome but I can't drive unsafe shit.

Owner's girlfriend stepped in, took care of everything like a boss, and I am now driving their best. The pandemic nearly killed their business, that section of the fleet is just now becoming more in demand.

Now, Winifred. She had just become a regular when I started - very ""well to do"". First trip was from an independent care facility (now assisted living unit, she's not happy) to the afternoon Mass.

I was warned in advance (and given a salute by her last driver) before I headed to pick her up - third trip for the company. Very demanding pax and she needs a lot of help getting in and out of the car.

She asked me to do five things at once, said she's old enough to be my grandmother (Mom's her age), AC was either too hot or too cold, and made me pull over to find the right radio station. All in the first five minutes 😂

First time waiting for a pax on the job. People were commenting on the fancy car parked by the door to the church. It was her first Mass since the pandemic began.

After I got her situated in the car again, she started to apologize for how she acted before. I cut her off. Told her that I know chronic pain when I see it (arthritic, obese) and how it can definitely **** with your mood. And I told her to stop calling herself old.

Dropped her off, called the company, and told them that if Winifred ever needs a ride to PLEASE let me know. And she requested me for her next trip.

Mass again yesterday, this time I joined her. Boss asked if we needed to charge extra for an escort. 😂

And that's my Sunday moving forward. Paid a decent amount to drive a friend (Winifred said I'd better not think of her as a pax) to church and back.

Oh, and here I am picking up her phone off of the road yesterday because I put it on the roof and forgot. Not a scratch. Divine intervention??😳




Rideshare has been either extremely profitable here or less than minimum wage, just seems to be how the wind blows. Tips are pretty much unheard of, pick up distance is still pretty high for most pings. Pax are still left stranded at our airport.

Even though I'm not totally down with it (seems a bit low), I earn $10/hr from when I leave the ""garage"" (that can be home if the car isn't needed before or between trips) until I return.

unlike Uber and Lyft, tips are included, minimum of 18% - and many fares are $200+. So, no dead miles and no expenses. Lately driving a 2019 Lincoln MKT, 2017 Continental, 2019 Suburban, and soon a 2020 Continental.

Pax run the gamut, from Winifred to newlyweds, executives, flight crews (airport to hotel and back), organ transplant teams, and - last week - a show creator for AMC followed by his lead actor.

I was star struck enough, then had the surreal experience of the main man behind the show asking me to stop so he could literally run a block to an ATM so he could tip me $20 cash (in addition to the $20 or so included, short airport run).

In conclusion, companies like this are hiring. ""Oh, rideshare drivers are un employable"" - bullshit. I submitted a resume, showed up on time wearing a suit, ""here's where the keys are, water bottles are over there, when can you start"" - that was the interview.

So, if you are burnt out being an ""ant"" (hate that term but whatever), consider the option. And I'm part time for now, still ""anting"" on and off.

My theme song right now -



",2021
post-7136351,SicilianDude,"Jul 11, 2021 at 6:10 AM","Ok we all know that Lyft is ripping everyone off from both ends while we’re doing all the work but I gotta admit that driving the graveyard shift with Lyft in Chicago is still making me $46 an hour average and I even got five times in two months. All I do every night is pick up hot chicks in mini skirts and high heels and then do lots of club hopping!

Finally, got some perks!",2021
post-7137560,Uber_J,"Jul 12, 2021 at 12:31 PM","A 17-year-old  girl has been accused of stabbing and killing an  driver in National City. 
Police said they found Raquel Spohn Wehber, 58, in her car near a neighborhood market with multiple stab wounds last Tuesday. 

How do you like this story?




I felt unsafe couple of time with female passengers on the back who were fooling around while I drove them. Nothing bad happen though. But new generation have no respect to anything.",2021
post-7135622,June132017,"Jul 10, 2021 at 1:04 PM","I figured it wasn't worth doing. Probably 10 mins to get there and 15 mins to get out of the concert traffic. I figured people would understand to tip. So I did an experiment and see if they would tip. Nope. Both rides didn't tip yet. 

Then some random guy tips $5 on a 10 minute ride not involving the concert. Lol, you can't make this stuff up. 

$5 was what I was looking for the concert traffic. $10 for generous tippers in the concert traffic. Maybe $20 if they wanted to really tip.",2021
